time,open,high,low,close,volume,ticker
2020-07-15,13720,14040,13360,13870,4399680,TCH
2020-07-16,13930,14190,13720,14100,7149050,TCH
2020-07-17,14040,14160,13870,14100,6244180,TCH
2020-07-20,14040,14040,13740,13740,1082330,TCH
2020-07-21,14100,14580,13870,14360,13123330,TCH
2020-07-22,14160,14510,14070,14190,5485880,TCH
2020-07-23,14190,14230,13930,14040,1820260,TCH
2020-07-24,13720,13780,13070,13200,8373070,TCH
2020-07-27,12340,12560,12310,12310,1601960,TCH
2020-07-28,11790,12790,11510,12790,6305520,TCH
2020-07-29,12180,12280,11900,12150,5571400,TCH
2020-07-30,12180,12310,12050,12180,1522620,TCH
2020-07-31,12120,13020,11350,12600,9952340,TCH
2020-08-03,12480,12820,12410,12690,1722270,TCH
2020-08-04,12790,12980,12730,12790,1935400,TCH
2020-08-05,12730,12950,12500,12820,2922930,TCH
2020-08-06,12820,12880,12660,12850,1293750,TCH
2020-08-07,12880,13070,12790,13020,2701620,TCH
2020-08-10,13050,13330,12980,13170,3049920,TCH
2020-08-11,13240,13240,12980,13100,1338440,TCH
2020-08-12,13140,13300,12850,13100,4365390,TCH
2020-08-13,13240,13240,13020,13140,2574480,TCH
2020-08-14,13100,13140,12790,13050,3644340,TCH
2020-08-17,12950,12980,12600,12790,1871920,TCH
2020-08-18,12790,12880,12730,12760,1173650,TCH
2020-08-19,12790,12950,12630,12950,3694390,TCH
2020-08-20,12950,12950,12660,12790,1271000,TCH
2020-08-21,12820,12980,12660,12920,4938640,TCH
2020-08-24,12950,13140,12950,13050,2746730,TCH
2020-08-25,13070,13490,12790,13420,14623570,TCH
2020-08-26,13330,13850,13170,13610,8713210,TCH
2020-08-27,13460,13810,13420,13680,9663670,TCH
2020-08-28,13650,13720,13420,13650,6630540,TCH
2020-08-31,13610,13610,13240,13300,3153790,TCH
2020-09-01,13100,13330,13070,13330,2694450,TCH
2020-09-03,13460,13560,13330,13390,4330970,TCH
2020-09-04,13050,13680,13050,13680,5073270,TCH
2020-09-07,13460,13490,13240,13360,2811510,TCH
2020-09-08,13360,13360,13100,13330,4852250,TCH
2020-09-09,13070,13240,13070,13240,2484550,TCH
2020-09-10,13240,13530,13240,13460,4471930,TCH
2020-09-11,13490,13610,13390,13460,4102210,TCH
2020-09-14,13530,13530,13300,13300,1029310,TCH
2020-09-15,13360,13390,13200,13200,1224410,TCH
2020-09-16,13240,13270,13140,13140,1253180,TCH
2020-09-17,13170,13240,13100,13100,1780490,TCH
2020-09-18,13140,13270,13070,13270,4061250,TCH
2020-09-21,13330,13390,13170,13330,3414820,TCH
2020-09-22,13200,13490,13070,13460,9041600,TCH
2020-09-23,13460,13460,13240,13360,2853510,TCH
2020-09-24,13200,13300,13140,13200,2869380,TCH
2020-09-25,13170,13240,13020,13240,3255030,TCH
2020-09-28,13270,13460,13100,13390,6870830,TCH
2020-09-29,13970,14070,13560,13740,13046320,TCH
2020-09-30,13490,13930,13330,13780,15024070,TCH
2020-10-01,13680,13810,13240,13720,9975400,TCH
2020-10-02,13460,13810,13050,13810,21924910,TCH
2020-10-05,13740,13780,13490,13490,2803010,TCH
2020-10-06,13580,13810,13490,13780,12978280,TCH
2020-10-07,13560,13740,13530,13560,19829730,TCH
2020-10-08,13610,13610,13200,13360,11863940,TCH
2020-10-09,13420,13680,13170,13610,16097270,TCH
2020-10-12,13780,13780,13360,13360,4123850,TCH
2020-10-13,13420,13420,13240,13390,8998620,TCH
2020-10-14,13330,13650,13020,13490,22840530,TCH
2020-10-15,13530,13680,13300,13420,15567050,TCH
2020-10-16,13390,13490,13100,13490,14283420,TCH
2020-10-19,13330,13330,13170,13170,7497370,TCH
2020-10-20,13390,13530,13050,13360,36953630,TCH
2020-10-21,13360,13390,13050,13360,13073280,TCH
2020-10-22,13200,13270,13070,13070,7023460,TCH
2020-10-23,13100,13200,13070,13100,2962630,TCH
2020-10-26,13140,13300,12820,12820,11895940,TCH
2020-10-27,12850,12950,12340,12530,12793100,TCH
2020-10-28,12370,12410,11860,12150,11540740,TCH
2020-10-29,12020,12090,11830,11970,3934950,TCH
2020-10-30,12020,12090,11670,11830,5839620,TCH
2020-11-02,11900,11900,11510,11510,3920940,TCH
2020-11-03,11540,11970,11540,11900,4976030,TCH
2020-11-04,11970,12090,11790,12020,3617320,TCH
2020-11-05,11970,12220,11930,12020,3922890,TCH
2020-11-06,12050,12150,11900,12020,3188320,TCH
2020-11-09,12050,12090,11980,12020,2326120,TCH
2020-11-10,12090,12150,11900,12020,5280320,TCH
2020-11-11,11930,11980,11790,11860,7274850,TCH
2020-11-12,11900,11980,11790,11970,3366410,TCH
2020-11-13,11970,11970,11830,11930,1714110,TCH
2020-11-16,11930,11970,11580,11580,3215370,TCH
2020-11-17,11640,11980,11580,11980,8399350,TCH
2020-11-18,11900,12120,11830,12050,5918250,TCH
2020-11-19,11970,12180,11860,12150,8325970,TCH
2020-11-20,12240,12980,12240,12980,11655810,TCH
2020-11-23,13240,13610,12660,13330,16584510,TCH
2020-11-24,13300,13300,12790,12850,8262730,TCH
2020-11-25,12760,12920,12480,12880,8672770,TCH
2020-11-26,12980,13270,12950,13200,11578480,TCH
2020-11-27,13200,13200,12920,12920,5437700,TCH
2020-11-30,12950,13070,12480,12480,9693850,TCH
2020-12-01,12090,13140,12020,13140,28270800,TCH
2020-12-02,12820,12880,12660,12820,12125400,TCH
2020-12-03,12730,12820,12410,12820,16912120,TCH
2020-12-04,12600,12600,12410,12600,19491690,TCH
2020-12-07,12630,12630,12310,12630,23272730,TCH
2020-12-08,12480,12530,12280,12440,10095660,TCH
2020-12-09,12440,12560,12020,12560,26878490,TCH
2020-12-10,12280,12440,12220,12220,2676550,TCH
2020-12-11,12280,12370,12120,12240,2133770,TCH
2020-12-14,12410,12480,12310,12310,4815760,TCH
2020-12-15,12340,12370,12220,12220,4687670,TCH
2020-12-16,12340,12340,12220,12220,3987770,TCH
2020-12-17,12220,12410,12090,12240,8512500,TCH
2020-12-18,12310,12410,12240,12340,5683010,TCH
2020-12-21,12440,12480,12310,12340,5875150,TCH
2020-12-22,12340,12600,12280,12500,6491870,TCH
2020-12-23,12660,13240,12440,12980,12008360,TCH
2020-12-24,13050,13240,12280,12760,10796900,TCH
2020-12-25,12730,12920,12500,12790,4770700,TCH
2020-12-28,12880,13300,12820,13050,9875830,TCH
2020-12-29,13100,13310,13100,13210,4892390,TCH
2020-12-30,13310,13600,13170,13240,6472720,TCH
2020-12-31,13240,13310,13050,13070,5345790,TCH
2021-01-04,13170,13400,13050,13140,5695300,TCH
2021-01-05,13100,13280,13050,13140,5199100,TCH
2021-01-06,13240,14060,13140,13630,19957600,TCH
2021-01-07,13830,14030,13740,13830,8550300,TCH
2021-01-08,14000,14780,13860,14780,18368900,TCH
2021-01-11,15200,15790,15080,15790,12515100,TCH
2021-01-12,16260,16680,15790,16390,9784100,TCH
2021-01-13,16260,16390,15830,15830,11307600,TCH
2021-01-14,16000,16850,15760,16850,11809100,TCH
2021-01-15,17240,17570,17050,17300,5956100,TCH
2021-01-18,17100,17960,16880,17140,7919300,TCH
2021-01-19,17050,17080,15970,15970,10511200,TCH
2021-01-20,15970,16260,14850,15530,11910900,TCH
2021-01-21,15900,16610,15600,16610,9267500,TCH
2021-01-22,16910,17360,16610,16980,8736000,TCH
2021-01-25,16650,17240,16520,17010,6660600,TCH
2021-01-26,17010,17010,15830,15930,9280400,TCH
2021-01-27,15600,16350,15010,15080,8180800,TCH
2021-01-28,14030,14490,14030,14030,9232700,TCH
2021-01-29,13100,14780,13100,14390,9480600,TCH
2021-02-01,14360,14680,13400,13400,8495100,TCH
2021-02-02,13430,14100,12980,13770,5477700,TCH
2021-02-03,13960,14710,13770,14710,6281900,TCH
2021-02-04,14750,14920,14420,14650,5233400,TCH
2021-02-05,14680,15080,14520,14780,4129200,TCH
2021-02-08,14750,14780,13770,13770,8662500,TCH
2021-02-09,13890,14220,13500,13960,4655800,TCH
2021-02-17,14160,14650,14120,14520,4564200,TCH
2021-02-18,14520,15530,14320,15400,9018700,TCH
2021-02-19,15140,15600,15110,15270,3965000,TCH
2021-02-22,15270,15500,14820,14940,5735600,TCH
2021-02-23,14940,15370,14820,15080,5557800,TCH
2021-02-24,15270,15270,14490,14580,6689300,TCH
2021-02-25,14820,14890,14320,14450,6209100,TCH
2021-02-26,14220,14450,14030,14290,5700300,TCH
2021-03-01,14450,14890,14360,14820,3998800,TCH
2021-03-02,15080,15140,14680,14750,3712200,TCH
2021-03-03,14680,15010,14620,14920,4409600,TCH
2021-03-04,14970,15040,14160,14290,4660900,TCH
2021-03-05,14290,14560,14120,14390,3965300,TCH
2021-03-08,14490,14680,14420,14450,3958100,TCH
2021-03-09,14450,15080,14250,14650,5186900,TCH
